text,conversation_id,created_at,retweet_count,reply_count,like_count,quote_count,is_reply_to_user,related_user_id,,,
"While the US economy has been contracting, the bitcoin network has been expanding 🤔",1520054684328865792,2022-04-29T14:57:32.000Z,210,247,2273,11,0,339061487
"This special episode of the podcast features @42macroDDale talking with @BrianEstes32 and @PerianneDC.

They cover bitcoin, the Fed, regulation, and much more. Enjoy! 

https://t.co/cdwNHA8b36",1520010798898237441,2022-04-29T12:03:09.000Z,18,63,91,5,0,339061487
"Goldman Sachs successfully offered their first bitcoin-backed loan.

Eventually every bank will do it.",1519831270997561344,2022-04-29T00:09:46.000Z,730,358,5697,46,0,339061487
"Bitcoin’s hashrate has officially hit a new all-time high.

The network has never been more secure.",1519723766753992705,2022-04-28T17:02:35.000Z,257,170,2759,11,0,339061487
"New episode with @ihate1999 is now live!

He is a board member at @jack's Bitcoin Trust, the CEO &amp; CTO at Recursive Capital, and has some of the best insights into bitcoin adoption in Africa.

Enjoy!

https://t.co/Y3cFRgQa7n",1519303025063518214,2022-04-27T13:10:43.000Z,47,81,230,3,0,339061487
MicroStrategy’s @saylor continues to be a great representative of the bitcoin story in the mainstream media.  https://t.co/sDgweZmMgv,1518979419322425344,2022-04-26T15:44:49.000Z,236,147,1557,10,0,339061487
"In December 2018 I said that every pension fund should purchase bitcoin.

If they had done it, they would have increased their total assets by 10% and we could have solved much of the pension crisis.

Now Fidelity is letting individuals do it themselves.

https://t.co/wHdCKMsWxt",1518958949470556160,2022-04-26T14:23:29.000Z,53,69,392,5,0,339061487
"Fidelity is going to allow clients to put bitcoin in their retirement portfolios.

This is a big deal.

https://t.co/aMjGUCQ3wR",1518932824119775237,2022-04-26T12:39:40.000Z,679,292,4083,63,0,339061487
"Are you dreading heading to work tomorrow?

There are hundreds of open roles at the top companies in bitcoin and crypto right now.

We see more than one person per day hired through our job marketplace.

APPLY: https://t.co/EaWrk2lCb3",1518406774851878913,2022-04-25T01:49:20.000Z,40,109,299,1,0,339061487
Every major company has a blockchain department and you’re worried about 30k Bitcoin,1523803265225269249,2022-05-09T23:13:03.000Z,17,15,86,2,0,961971412528517120
Just bought more Bitcoin.,1521020037238190080,2022-05-02T06:53:30.000Z,1,9,12,0,0,961971412528517120
"Check the @coinboundio team’s recap of @TheBitcoinConf 

Including:
👉Top examples of Web3 marketing at the conference 
👉Our recommendation for making the most of Bitcoin 2022
👉How @jared413 earned a quick trip to the medical tent

https://t.co/fu5Xi61K9z",1519096329787502592,2022-04-26T23:29:23.000Z,1,3,6,0,0,961971412528517120
"Fidelity is now going to add Bitcoin to
their 401k plans.

Crypto is here to stay and is only
going to become more prevalent.",1519072465447759875,2022-04-26T21:54:33.000Z,0,0,6,0,0,961971412528517120
"Consolidation in Endangering the #Bitcoin Rally!
https://t.co/GIiypyxV2s",1525500217692413952,2022-05-14T15:36:08.000Z,4,16,46,0,0,2577886615
"Going Live w/ @FreedomsPhoenix, the broadcast channel that gave me my very first #Bitcoin interview !!!
Website: https://t.co/MumasPi6m3
Watch LIVE: https://t.co/yic5SDmiPh",1525154068783833088,2022-05-13T16:40:40.000Z,2,11,27,0,0,2577886615
"Even More Confident to Buy This Dip!!! #Bitcoin!!!
https://t.co/aigVQkd3F0",1524749855423352832,2022-05-12T13:54:28.000Z,9,48,137,3,0,2577886615
"Buy Da Dip!!! #Bitcoin Should Bounce Here!
https://t.co/TApuRN6OGu",1524542200847159299,2022-05-12T00:09:19.000Z,17,37,134,3,0,2577886615
"#Bitcoin Still Bearish as LUNA Dumpster Fire Blazes On!
https://t.co/Nz34OQwbQd",1524370283964022785,2022-05-11T12:46:11.000Z,3,18,45,1,0,2577886615
"So Is The Bottom for #Bitcoin IN?!?!?!
https://t.co/GVVKumGvk3",1524012074262794242,2022-05-10T13:02:47.000Z,7,14,47,2,0,2577886615
What it's like explaining #Bitcoin to someone who just wants to Shitcoin (from $ETH to #NFT's) https://t.co/nXZoNpaVCZ,1523725240559235072,2022-05-09T18:03:01.000Z,21,31,160,1,0,2577886615
"#Bitcoin Could be at a Buy Point Soon!
https://t.co/cxByLilpqO",1523648007375257600,2022-05-09T12:56:07.000Z,9,19,63,0,0,2577886615
"#Bitcoin Charts are Still in Trouble!
https://t.co/JNsW0MnUhs",1523439924149506048,2022-05-08T23:09:16.000Z,12,20,48,0,0,2577886615
"#Bitcoin Continues to Consolidate at the Lows, When Lower?
https://t.co/Kcpy8yb9SW",1523044556551634945,2022-05-07T20:58:13.000Z,10,37,57,1,0,2577886615
"Huge Market &amp; #Bitcoin Crash Following FED Rate Hike!
https://t.co/CKwSyohp3B",1522562496149794816,2022-05-06T13:02:41.000Z,10,31,40,0,0,2577886615
"LIVE again in Portuguese!!! w/ @diegovelasques4 to talk #Bitcoin charts and the recent crash!
https://t.co/atyEdtnrME",1522337841799262209,2022-05-05T22:09:59.000Z,6,22,66,0,0,2577886615
"#Bitcoin Bounced on FED News, Now What?
https://t.co/0Q8iu9POv1",1522202970544300034,2022-05-05T13:14:03.000Z,4,19,34,0,0,2577886615
